title,color,type,avg_rating,num_of_ratings,selling_price,MRP
KBOOM New Arival HBS-730 Unique Ring-necked Wireless St...,Multicolor, In the Ear,3.4,7605,260,1800
U&I Alarm Series 40Hrs Music Time Wireless Neckband Ear...,Red, In the Ear,4.1,2472,495,2999
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Black, In the Ear,3.9,10398,379,1999
boAt Rockerz 333 Upto 30 Hours Battery Bluetooth Headse...,Navy Blue, In the Ear,4,93468,1499,3990
FIER Headset in Ear Earphone Bluetooth Headset,White, In the Ear,3.5,1043,155,499
Truke BTG 1 Gaming Earbuds with 60ms Low Latency Blueto...,Black, True Wireless,4,6100,1599,3499
Boult Audio ProBass Curve Neckband Bluetooth Headset,Black, Grey,4,333036,999,3499
boAt BassHeads 220 Wired Headset,Red, In the Ear,4.2,824592,404,999
Ambrane NeoBuds-33 Bluetooth Headset,Indigo Blue, True Wireless,3.9,4849,985,1799
boAt Rockerz 333 Pro with 60 Hours Battery Bluetooth He...,Navy Blue, In the Ear,4.3,1752,1799,2990
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,Black, True Wireless,3.3,1842,254,1998
boAt Rockerz 450 with Upto 15 Hours Playback Bluetooth ...,Luscious Black, On the Ear,4.3,291076,1299,3990
TIGENECY i7S Single 2 PIC Ear Sound with Mic Bluetooth ...,White, True Wireless,3.5,85,221,999
boAt Rockerz 450 with Upto 15 Hours Playback Bluetooth ...,Hazel Beige, On the Ear,4.3,291076,1299,3990
Ubon Passion Series CL-75 Bluetooth Headset,Black, In the Ear,3.7,31,589,1499
boAt BassHeads 100 Wired Headset,Furious Red, In the Ear,4.3,1049774,399,999
U&I Prank 30Hrs Music Time Wireless Neckband Bluetooth ...,Black, In the Ear,4.4,81,439,2199
TECHFIRE Fire 500v2 Neckband hi-bass Wireless Bluetooth...,Green, In the Ear,3.8,1748,599,3850
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Yellow, Black,4,2834,533,2499
Platina 1000 Bluetooth Headset,Multicolor, In the Ear,3.4,3550,245,999
XB9 bluetooth neckband RED 01 Bluetooth Headset,Red, In the Ear,3.3,56,300,999
Nothing ear (1) Bluetooth Headset,White, True Wireless,4.2,14250,5999,7299
"FIER FGN-K1B,K1W Pack 2bluetooth,headphone Bluetooth He...",Black, White,3.7,6288,217,799
boAt Rockerz 255F Pro with Fast Charging Bluetooth Head...,Navy Blue, In the Ear,4.2,229212,1149,3499
Mi Basic Wired Headset with Mic,Black, In the Ear,4.3,712789,429,599
Aroma NB119 Pro Belief- 30 Hours Playtime Bluetooth Nec...,Black, In the Ear,4,41625,439,1499
U&I Fighter Series Deep Bass Neckband with 12 Hours Mus...,Black, In the Ear,3.9,13327,399,1999
Truke Buds S1 Bluetooth Headset,Blue, True Wireless,4,21398,1399,3999
Noise Air Buds Mini Truly Wireless Bluetooth Headset,Pale Blue, True Wireless,3.9,84624,1499,2999
DAYNEO TwsL21 Mini Wireless Bluetooth Headset / Earphon...,Black, True Wireless,3.7,1762,664,1999
WeCool Moonwalk Mini in ear bluetooth Earbuds with 16 h...,Black, Yellow,3.9,18893,849,1999
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Black, True Wireless,3.9,35280,1299,4999
PHILIPS SHE1505BK/94 Rich Bass Wired Headset,Black, In the Ear,4.1,20960,299,399
NOYMI Bluetooth Wireless Noise Cancelling Earphone with...,Black, In the Ear,3.8,13,299,1199
Boult Audio FluidX Bluetooth Headset,Black, On the Ear,4.1,3030,1199,4999
boAt BassHeads 220 Super Extra Bass Wired Headset,Neon Lime, In the Ear,4.2,824592,399,999
